MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,02-01-2019,06:30:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,06:40:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,06:50:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,07:00:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,07:10:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,07:20:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,07:30:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,07:40:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,07:50:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,08:00:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,08:10:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,08:20:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,08:30:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,08:40:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,08:50:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,09:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,09:10:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,09:20:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,09:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,09:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,09:50:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,10:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,10:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,10:20:00,"6,8"
