MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;REFERENTIE;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-07-1968;08:00:00;;;240;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;04-07-1968;08:00:00;;;237;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;05-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;06-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;07-07-1968;08:00:00;;;257;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;08-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;09-07-1968;08:00:00;;;260;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;10-07-1968;08:00:00;;;254;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;11-07-1968;08:00:00;;;257;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;12-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;13-07-1968;08:00:00;;;250;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;14-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;15-07-1968;08:00:00;;;251;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;16-07-1968;08:00:00;;;252;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;17-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;18-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;19-07-1968;08:00:00;;;255;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;20-07-1968;08:00:00;;;256;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
;Culemborg brug;CULBBG;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;21-07-1968;08:00:00;;;253;;Normale waarde;Definitief;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;652318,391801686;5759061,63493488;;;;;;;
