MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,11-10-2019,15.0
Borgharen stuw.,BORGHRSW,11-10-2020,15.0
Borgharen stuw.,BORGHRSW,11-12-2019,7.0
Borgharen stuw.,BORGHRSW,12-02-2019,6.0
Borgharen stuw.,BORGHRSW,12-04-2020,16.0
Borgharen stuw.,BORGHRSW,12-05-2019,15.0
Borgharen stuw.,BORGHRSW,12-05-2020,16.0
Borgharen stuw.,BORGHRSW,12-06-2019,20.0
Borgharen stuw.,BORGHRSW,12-06-2020,20.0
Borgharen stuw.,BORGHRSW,12-07-2019,23.0
Borgharen stuw.,BORGHRSW,12-07-2020,21.0
Borgharen stuw.,BORGHRSW,12-08-2019,22.0
Borgharen stuw.,BORGHRSW,12-08-2020,25.5
Borgharen stuw.,BORGHRSW,12-09-2020,20.0
Borgharen stuw.,BORGHRSW,12-10-2019,15.0
Borgharen stuw.,BORGHRSW,12-11-2019,10.0
Borgharen stuw.,BORGHRSW,12-12-2019,7.0
Borgharen stuw.,BORGHRSW,13-01-2019,7.0
Borgharen stuw.,BORGHRSW,13-02-2019,6.0
Borgharen stuw.,BORGHRSW,13-03-2019,8.0
Borgharen stuw.,BORGHRSW,13-04-2019,12.0
Borgharen stuw.,BORGHRSW,13-04-2020,16.0
Borgharen stuw.,BORGHRSW,13-05-2019,15.0
Borgharen stuw.,BORGHRSW,13-05-2020,17.0
Borgharen stuw.,BORGHRSW,13-06-2019,19.0
Borgharen stuw.,BORGHRSW,13-06-2020,20.692307692307693
Borgharen stuw.,BORGHRSW,13-07-2019,23.0
Borgharen stuw.,BORGHRSW,13-07-2020,21.0
Borgharen stuw.,BORGHRSW,13-08-2020,26.0
Borgharen stuw.,BORGHRSW,13-09-2020,20.0
Borgharen stuw.,BORGHRSW,13-10-2019,15.0
Borgharen stuw.,BORGHRSW,13-11-2020,13.0
Borgharen stuw.,BORGHRSW,13-12-2019,7.0
Borgharen stuw.,BORGHRSW,14-01-2020,8.0
Borgharen stuw.,BORGHRSW,14-02-2019,6.0
Borgharen stuw.,BORGHRSW,14-03-2019,8.0
Borgharen stuw.,BORGHRSW,14-04-2019,11.0
Borgharen stuw.,BORGHRSW,14-05-2019,15.0
Borgharen stuw.,BORGHRSW,14-05-2020,16.0
Borgharen stuw.,BORGHRSW,14-06-2019,20.0
Borgharen stuw.,BORGHRSW,14-06-2020,21.0
Borgharen stuw.,BORGHRSW,14-07-2019,22.0
Borgharen stuw.,BORGHRSW,14-07-2020,21.0
Borgharen stuw.,BORGHRSW,14-08-2019,21.047619047619047
Borgharen stuw.,BORGHRSW,14-08-2020,26.0
Borgharen stuw.,BORGHRSW,14-09-2020,20.0
Borgharen stuw.,BORGHRSW,14-10-2020,14.0
Borgharen stuw.,BORGHRSW,14-12-2019,7.0
Borgharen stuw.,BORGHRSW,14-12-2020,6.0
Borgharen stuw.,BORGHRSW,15-01-2019,7.0
Borgharen stuw.,BORGHRSW,15-02-2019,6.0
Borgharen stuw.,BORGHRSW,15-03-2019,8.0
Borgharen stuw.,BORGHRSW,15-04-2019,11.0
Borgharen stuw.,BORGHRSW,15-04-2020,15.0
Borgharen stuw.,BORGHRSW,15-05-2019,15.0
Borgharen stuw.,BORGHRSW,15-05-2020,16.0
Borgharen stuw.,BORGHRSW,15-06-2019,20.0
Borgharen stuw.,BORGHRSW,15-06-2020,21.0
Borgharen stuw.,BORGHRSW,15-07-2019,22.0
Borgharen stuw.,BORGHRSW,15-07-2020,21.0
Borgharen stuw.,BORGHRSW,15-08-2019,21.0
Borgharen stuw.,BORGHRSW,15-08-2020,26.0
Borgharen stuw.,BORGHRSW,15-09-2019,20.0
Borgharen stuw.,BORGHRSW,15-09-2020,20.0
Borgharen stuw.,BORGHRSW,15-11-2019,9.0
Borgharen stuw.,BORGHRSW,15-11-2020,13.0
Borgharen stuw.,BORGHRSW,16-01-2019,7.0
Borgharen stuw.,BORGHRSW,16-02-2019,6.0
Borgharen stuw.,BORGHRSW,16-02-2020,7.222222222222222
Borgharen stuw.,BORGHRSW,16-04-2019,12.0
Borgharen stuw.,BORGHRSW,16-05-2019,15.0
Borgharen stuw.,BORGHRSW,16-05-2020,17.0
Borgharen stuw.,BORGHRSW,16-06-2020,21.0
Borgharen stuw.,BORGHRSW,16-07-2020,21.0
Borgharen stuw.,BORGHRSW,16-08-2019,21.0
Borgharen stuw.,BORGHRSW,16-08-2020,26.0
Borgharen stuw.,BORGHRSW,16-09-2020,21.0
Borgharen stuw.,BORGHRSW,16-11-2019,9.0
Borgharen stuw.,BORGHRSW,16-12-2019,7.0
Borgharen stuw.,BORGHRSW,16-12-2020,7.0
Borgharen stuw.,BORGHRSW,17-01-2019,7.0
Borgharen stuw.,BORGHRSW,17-02-2020,8.0
Borgharen stuw.,BORGHRSW,17-03-2020,10.0
Borgharen stuw.,BORGHRSW,17-04-2019,12.0
Borgharen stuw.,BORGHRSW,17-05-2020,16.5
Borgharen stuw.,BORGHRSW,17-06-2019,21.0
Borgharen stuw.,BORGHRSW,17-07-2019,22.0
Borgharen stuw.,BORGHRSW,17-07-2020,21.0
Borgharen stuw.,BORGHRSW,17-08-2019,21.0
Borgharen stuw.,BORGHRSW,17-08-2020,25.0
Borgharen stuw.,BORGHRSW,17-09-2019,19.0
Borgharen stuw.,BORGHRSW,17-10-2020,13.0
Borgharen stuw.,BORGHRSW,17-11-2020,12.0
Borgharen stuw.,BORGHRSW,17-12-2020,7.0
Borgharen stuw.,BORGHRSW,18-01-2019,7.0
Borgharen stuw.,BORGHRSW,18-01-2020,8.0
Borgharen stuw.,BORGHRSW,18-03-2020,10.0
Borgharen stuw.,BORGHRSW,18-04-2019,13.0
Borgharen stuw.,BORGHRSW,18-05-2019,16.0
Borgharen stuw.,BORGHRSW,18-05-2020,17.379310344827587
Borgharen stuw.,BORGHRSW,18-06-2019,22.0
Borgharen stuw.,BORGHRSW,18-06-2020,21.0
Borgharen stuw.,BORGHRSW,18-07-2019,22.0
Borgharen stuw.,BORGHRSW,18-07-2020,21.275862068965516
Borgharen stuw.,BORGHRSW,18-08-2019,21.0
Borgharen stuw.,BORGHRSW,18-08-2020,25.0
Borgharen stuw.,BORGHRSW,18-11-2020,12.0
Borgharen stuw.,BORGHRSW,18-12-2019,8.0
Borgharen stuw.,BORGHRSW,18-12-2020,7.0
Borgharen stuw.,BORGHRSW,19-01-2020,8.0
Borgharen stuw.,BORGHRSW,19-02-2019,7.0
Borgharen stuw.,BORGHRSW,19-03-2020,11.0
Borgharen stuw.,BORGHRSW,19-04-2019,14.0
Borgharen stuw.,BORGHRSW,19-05-2019,16.0
Borgharen stuw.,BORGHRSW,19-05-2020,18.0
Borgharen stuw.,BORGHRSW,19-06-2019,22.0
Borgharen stuw.,BORGHRSW,19-07-2019,22.0
Borgharen stuw.,BORGHRSW,19-07-2020,22.0
Borgharen stuw.,BORGHRSW,19-08-2019,21.0
Borgharen stuw.,BORGHRSW,19-08-2020,25.0
Borgharen stuw.,BORGHRSW,19-09-2020,20.0
